kode,text
1111,Menanam dan merawat tanaman jagung
1111,Memanen hasil panen jagung berkualitas
1111,Mengolah lahan untuk penanaman jagung
1111,Melakukan pembibitan dan pembenihan jagung
1111,Mengelola kegiatan pertanian jagung intensif
1111,Menjual benih jagung unggul berkualitas
1111,Merawat tanaman jagung dari hama penyakit
1111,Mengecek kualitas hasil panen jagung
1111,Menggiling jagung untuk pakan ternak
1111,Mengairi lahan pertanian jagung
1111,Memberikan pupuk pada tanaman jagung
1111,Memastikan pertumbuhan jagung optimal
1111,Mengendalikan gulma di lahan jagung
1111,Memanen jagung dengan efisien
1111,Menyimpan hasil panen jagung kering
1111,Merencanakan penanaman jagung berkelanjutan
1111,Melakukan analisis tanah pertanian jagung
1111,Membangun sistem irigasi jagung modern
1111,Mengolah tanah sebelum menanam jagung
1111,Menjual hasil panen jagung segar
1111,Memanen jagung di waktu yang tepat
1111,Membudidayakan varietas jagung hibrida
1111,Memantau pertumbuhan tanaman jagung harian
1111,Menyemprotkan pestisida pada tanaman jagung
1111,Mengeringkan jagung setelah panen
1111,Meneliti jenis jagung terbaik
1111,Melakukan seleksi bibit jagung unggul
1111,Memproduksi benih jagung bersertifikat
1111,Mencatat kegiatan pertanian jagung detail
1111,Memastikan kualitas bibit jagung
1111,Melakukan pembukaan lahan jagung baru
1111,Membajak lahan untuk penanaman jagung
1111,Mencangkul lahan pertanian jagung
1111,Membeli bibit jagung berkualitas
1111,Menjual jagung hasil panen petani
1111,Merawat kebun jagung setiap hari
1111,Mengawasi pertumbuhan tanaman jagung
1111,Mengolah jagung menjadi pakan ternak
1111,Menjemur hasil panen jagung
1111,Memasarkan produk jagung berkualitas
1111,Menggunakan mesin panen jagung
1111,Menganalisis hasil panen jagung
1111,Melakukan rotasi tanaman jagung
1111,Memastikan ketersediaan air irigasi
1111,Mencegah serangan hama pada jagung
1111,Memproses jagung pasca panen
1111,Mengoptimalkan hasil panen jagung
1111,Melakukan evaluasi hasil pertanian jagung
1111,Memanen jagung dan menjualnya
1111,Memastikan penanaman jagung tepat waktu
1113,"Menanam, merawat, dan memanen kedelai"
1113,Usaha pembibitan dan pembenihan kedelai
1113,Mengelola lahan pertanian kedelai
1113,Merawat tanaman kedelai di kebun
1113,Memanen kedelai saat panen raya
1113,Menjual bibit dan benih kedelai
1113,Mengolah lahan untuk tanaman kedelai
1113,Memperbaiki sistem irigasi kedelai
1113,Mengendalikan hama dan penyakit kedelai
1113,Melakukan pemupukan tanaman kedelai
1113,Memastikan kualitas bibit kedelai unggul
1113,Mengawasi pertumbuhan tanaman kedelai
1113,Memanen dan pasca panen kedelai
1113,Menjual hasil panen kedelai berkualitas
1113,Merencanakan penanaman kedelai tahunan
1113,Membudidayakan kedelai secara intensif
1113,Memproses pasca panen kedelai
1113,Melakukan seleksi bibit kedelai terbaik
1113,Menguji coba varietas kedelai baru
1113,Mengelola keuangan pertanian kedelai
1113,Mencari informasi harga kedelai pasar
1113,Menerapkan teknik pertanian modern kedelai
1113,Berkoordinasi dengan petani kedelai lain
1113,Melakukan penyuluhan tentang kedelai
1113,Menganalisis hasil panen kedelai
1113,Menyimpan hasil panen kedelai
1113,Mengolah hasil panen kedelai menjadi produk
1113,Mendistribusikan hasil panen kedelai
1113,Memastikan ketersediaan bibit unggul kedelai
1113,Mencari solusi masalah pertanian kedelai
1113,Mengontrol gulma pada tanaman kedelai
1113,Memelihara peralatan pertanian kedelai
1113,Memperkirakan hasil panen kedelai mendatang
1113,Meningkatkan produktivitas tanaman kedelai
1113,Meneliti jenis-jenis kedelai unggul
1113,Bertani kedelai dari awal hingga akhir
1113,Memasarkan hasil pertanian kedelai
1113,Menanam kedelai organik berkualitas tinggi
1113,Mengelola kebun kedelai sendiri
1113,Memastikan pertumbuhan kedelai optimal
1113,Menangani hama tanaman kedelai
1113,Mengolah lahan untuk persipan tanam kedelai
1113,Menguji kualitas tanah tanaman kedelai
1113,Melakukan perawatan pasca panen kedelai
1113,Melatih petani cara menanam kedelai
1113,Berjualan hasil panen kedelai unggul
1113,Mengembangkan bibit kedelai berkualitas
1113,Melakukan penyuluhan tani kedelai
1113,Membantu petani kedelai sukses
1113,Memastikan panen kedelai melimpah
1114,Menanam dan merawat kacang tanah.
1114,Memanen kacang tanah di kebun.
1114,Menyiapkan lahan untuk kacang tanah.
1114,Memproses kacang tanah pasca panen.
1114,Mengelola pembibitan kacang tanah.
1114,Menjual bibit kacang tanah unggul.
1114,Memupuk tanaman kacang tanah.
1114,Merawat tanaman kacang tanah harian.
1114,Membasmi hama kacang tanah.
1114,Mengairi lahan kacang tanah.
1114,Penyuluh pertanian kacang tanah.
1114,Penelitian varietas kacang tanah.
1114,Pengepul hasil panen kacang.
1114,Menganalisis kualitas kacang tanah.
1114,Menyiapkan bibit kacang pilihan.
1114,Mengolah tanah untuk kacang.
1114,Merawat tanaman kacang setiap hari.
1114,Pemanenan kacang tanah secara manual.
1114,Mengelola keuangan pertanian kacang.
1114,Membangun gudang penyimpanan kacang.
1114,Menjual hasil panen kacang tanah.
1114,Mengawasi pertumbuhan kacang tanah.
1114,Memberikan pupuk pada kacang.
1114,Memeriksa kualitas kacang rutin.
1114,Melakukan pengendalian hama.
1114,Membuat bedengan kacang tanah.
1114,Mengolah tanah untuk tanam.
1114,Memantau pertumbuhan kacang sawah.
1114,Mengumpulkan hasil panen kacang.
1114,Memilah kacang tanah berkualitas.
1114,Menyediakan bibit kacang.
1114,Petani kacang tanah profesional
1114,Pelatihan budidaya kacang.
1114,Konsultan pertanian kacang.
1114,Mengairi lahan kacang kering.
1114,Melindungi tanaman dari penyakit.
1114,Mencatat hasil panen kacang.
1114,Menjual hasil kacang panen.
1114,Mengolah lahan untuk tanam.
1114,Menyemprot hama tanaman kacang.
1114,Mengecek kadar air kacang.
1114,Membudidayakan bibit kacang unggulan.
1114,Menanam benih kacang pilihan.
1114,Mengawasi proses panen kacang.
1114,Merawat tanaman kacang intensif.
1114,Memastikan kualitas kacang optimal.
1114,Memelihara lahan pertanian kacang.
1114,Membantu petani kacang tanah.
1115,Menanam dan merawat kacang hijau.
1115,Panen kacang hijau setiap musim.
1115,Menjual bibit kacang hijau unggul.
1115,Mengolah lahan untuk kacang hijau.
1115,Memelihara tanaman kacang hijau harian.
1115,Memanen dan pasca panen kacang hijau.
1115,Membudidayakan kacang hijau berkualitas.
1115,Menyiapkan lahan tanam kacang hijau.
1115,Merawat bibit kacang hijau siap tanam.
1115,Memupuk tanaman kacang hijau secara rutin.
1115,Mengendalikan hama kacang hijau efektif.
1115,Mengairi lahan kacang hijau teratur.
1115,Memanen kacang hijau hasil sendiri.
1115,Menjemur hasil panen kacang hijau.
1115,Menyimpan kacang hijau setelah panen.
1115,Memproses kacang hijau pasca panen.
1115,Menyiapkan benih kacang hijau berkualitas.
1115,Memastikan pertumbuhan kacang hijau optimal.
1115,Mencari bibit kacang hijau unggulan.
1115,Mengawasi pertumbuhan kacang hijau harian.
1115,Memanen kacang hijau berkualitas tinggi.
1115,Menjual hasil panen kacang hijau segar.
1115,Merawat kebun kacang hijau intensif.
1115,Memproduksi benih kacang hijau berkualitas.
1115,Mengolah tanah untuk tanaman kacang.
1115,Melakukan pembibitan kacang hijau.
1115,Mengendalikan gulma pada kacang hijau.
1115,Memastikan pasokan air untuk kacang.
1115,Memetik kacang hijau siap panen.
1115,Membersihkan hasil panen kacang hijau.
1115,Menyortir kacang hijau hasil panen.
1115,Mengemas kacang hijau siap jual.
1115,Membangun kebun kacang hijau baru.
1115,Memantau perkembangan kacang hijau.
1115,Melindungi tanaman kacang hijau dari penyakit.
1115,Mengevaluasi hasil panen kacang.
1115,Mengembangkan varietas kacang hijau baru.
1115,Mencari bibit unggul kacang hijau.
1115,Menganalisis kebutuhan pupuk kacang.
1115,Memastikan kualitas hasil panen bagus.
1115,Mengirim kacang hijau ke pasar.
1115,Bergabung dalam kelompok tani kacang.
1115,Menerima pelatihan budidaya kacang.
1115,Melakukan survei lahan kacang hijau.
1115,Berinvestasi pada pertanian kacang.
1115,Menggunakan teknologi pertanian kacang.
1115,Bernegosiasi harga jual kacang hijau.
1115,Mempromosikan hasil panen kacang.
1115,Menilai potensi hasil panen kacang.
1115,Menanam kacang hijau secara organik.
1116,Menanam dan merawat kacang panjang
1116,Memanen kacang merah di ladang
1116,Menyemai bibit kacang gude
1116,Mengelola kebun kacang kapri
1116,Memupuk tanaman kecipir
1116,Panen buncis untuk dijual
1116,Menanam dan panen aneka kacang
1116,Merawat tanaman kacang polong
1116,Menyiram tanaman kacang hijau
1116,Memetik kacang tanah untuk dijual
1116,Menjual hasil panen kacang
1116,Mengolah lahan untuk kacang
1116,Memastikan kualitas kacang polong
1116,Memberi pestisida pada kacang
1116,Memetik kacang panjang di kebun
1116,Menanam berbagai jenis kacang
1116,Panen kacang merah dan jual
1116,Merawat tanaman kacang di ladang
1116,Pembenihan kacang-kacangan dimulai
1116,Membudidayakan kacang gude
1116,Memanen hasil kebun kacang
1116,Menjual kacang segar di pasar
1116,Perawatan tanaman kacang polong
1116,Pengolahan hasil panen kacang
1116,Menyiapkan lahan tanam kacang
1116,Menanam kacang kapri dan rawat
1116,Penyiraman tanaman kacang panjang
1116,Memberantas hama kacang hijau
1116,Memetik kecipir yang siap panen
1116,Menanam bibit aneka kacang
1116,Memanen dan menjual kacang
1116,Merawat tanaman kacang kara
1116,Pembenihan kacang unggul dimulai
1116,Menjaga kualitas kacang di gudang
