kode,text
1150,Menanam bibit tembakau di lahan.
1150,Memanen daun tembakau berkualitas tinggi.
1150,Merawat tanaman tembakau setiap hari.
1150,Membersihkan lahan perkebunan tembakau.
1150,Membuat bibit tembakau untuk ditanam.
1150,Mengatur jadwal penyiraman tembakau.
1150,Memberikan pupuk pada tanaman tembakau.
1150,Mengendalikan hama dan penyakit tembakau.
1150,Merajang daun tembakau hasil panen.
1150,Menyiapkan lahan sebelum penanaman tembakau.
1150,Melakukan penyemaian bibit tembakau.
1150,Mengontrol kualitas hasil panen tembakau.
1150,Memantau pertumbuhan tanaman tembakau.
1150,Mengeringkan daun tembakau setelah panen.
1150,Memungut daun tembakau yang sudah matang.
1150,Memastikan ketersediaan air untuk tembakau.
1150,Mengelola tenaga kerja perkebunan tembakau.
1150,Menjaga kebersihan area perkebunan tembakau.
1150,Membasmi gulma di sekitar tanaman tembakau.
1150,Melakukan seleksi bibit tembakau unggul.
1150,Menghitung hasil panen tembakau setiap hari.
1150,Mencatat kegiatan perawatan tanaman tembakau.
1150,Menyiapkan peralatan untuk panen tembakau.
1150,Mengatur irigasi untuk tanaman tembakau.
1150,Memastikan tanaman tembakau tumbuh subur.
1150,Membudidayakan tanaman tembakau berkualitas.
1150,Melakukan pemupukan tanaman tembakau rutin.
1150,Memotong daun tembakau yang berlebihan.
1150,Merawat bibit tembakau di pembibitan.
1150,Memproses daun tembakau setelah panen.
1150,Mengontrol suhu dan kelembaban tembakau.
1150,Memastikan daun tembakau siap jual.
1150,Membersihkan daun tembakau dari kotoran.
1150,Menata daun tembakau di rak pengering.
1150,Mengawasi proses pengeringan tembakau.
1150,Memilah daun tembakau berdasarkan kualitas.
1150,Mengontrol hama pada tanaman tembakau.
1150,Menyiram bibit tembakau setiap pagi.
1150,Memastikan bibit tembakau tumbuh sehat.
1150,Mencabut bibit tembakau untuk dipindah.
1150,Membawa pupuk ke area perkebunan.
1150,Mencari bibit tembakau yang hilang.
1150,Memeriksa kualitas tanah untuk tembakau.
1150,Mengukur tinggi tanaman tembakau.
1150,Mengumpulkan daun tembakau yang jatuh.
1150,Mengantar hasil panen tembakau ke gudang.
1150,Membantu proses perajangan tembakau.
1150,Merawat mesin pengolahan tembakau.
1150,Menyiapkan lahan untuk pembibitan tembakau.
1150,Melakukan survei di kebun tembakau.
1302,Menanam bibit tanaman secara vegetatif.
1302,Membuat stek tanaman untuk pembibitan.
1302,Mengokulasi tanaman terpilih.
1302,Menanam tanaman untuk ditanam kembali.
1302,Menyiapkan bibit umbi-umbian.
1302,Membuat stek dan cangkokan tanaman.
1302,Mengelola kebun bibit tanaman.
1302,Memproduksi bibit tanaman unggul.
1302,Melakukan okulasi tanaman hias.
1302,Menyediakan bibit tanaman hortikultura.
1302,Pembibitan tanaman buah-buahan.
1302,Pembuatan bibit tanaman sayuran.
1302,Mengurus cangkokan tanaman.
1302,Menyiapkan stek tanaman hias.
1302,Pengelolaan kebun bibit.
1302,Memperbanyak tanaman dengan vegetatif.
1302,Menjual bibit tanaman berkualitas.
1302,Merawat bibit tanaman.
1302,Menyeleksi tanaman untuk pembibitan.
1302,Mengembangkan bibit unggul.
1302,Menjual bibit buah-buahan.
1302,Menyediakan bibit tanaman perkebunan.
1302,Membuat bibit dari potongan batang.
1302,Melakukan cangkok tanaman.
1302,Menghasilkan bibit tanaman sayuran.
1302,Produksi bibit tanaman secara vegetatif.
1302,Mengelola pembibitan tanaman.
1302,Menggandakan tanaman melalui stek.
1302,Memperbanyak tanaman dengan okulasi.
1302,Pembibitan untuk tanaman hias.
1302,Menanam bibit umbi-umbian.
1302,Membuat cangkokan tanaman buah.
1302,Membangun kebun bibit tanaman.
1302,Menjual bibit berkualitas.
